 t       A(O)      A(F)
 7.87  8.621095  4.637142
 7.88  8.621118  4.637147
 7.89  8.621130  4.637147
 7.90  8.621142  4.637147
 7.91  8.621161  4.637184
 7.92  8.621173  4.637184
 7.93  8.621189  4.637188
 7.94  8.621202  4.637188
 7.95  8.621220  4.637225
 7.96  8.621232  4.637225
 7.97  8.621244  4.637225
 7.98  8.621261  4.637230
 7.99  8.621279  4.637267
 8.00  8.621291  4.637267
 8.01  8.621304  4.637267
 8.02  8.621322  4.637267
 8.03  8.621339  4.637308
 8.04  8.621351  4.637308
 8.05  8.621363  4.637308
 8.06  8.621381  4.637308
 8.07  8.621398  4.637313
 8.08  8.621410  4.637350
 8.09  8.621428  4.637350
 8.10  8.621441  4.637350
 8.11  8.621453  4.637350
 8.12  8.621469  4.637391
 8.13  8.621488  4.637391
 8.14  8.621500  4.637391
 8.15  8.621512  4.637391
 8.16  8.621524  4.637428
 8.17  8.621547  4.637433
 8.18  8.621559  4.637433
 8.19  8.621571  4.637433
 8.20  8.621584  4.637433
 8.21  8.621602  4.637470
 8.22  8.621619  4.637474
 8.23  8.621631  4.637474
 8.24  8.621649  4.637474
 8.25  8.621661  4.637511
 8.26  8.621678  4.637516
 8.27  8.621690  4.637516
 8.28  8.621708  4.637516
 8.29  8.621721  4.637553
 8.30  8.621733  4.637553
 8.31  8.621749  4.637557
 8.32  8.621768  4.637557
 8.33  8.621780  4.637594
 8.34  8.621792  4.637594
 8.35  8.621804  4.637594
 8.36  8.621827  4.637599
 8.37  8.621839  4.637599
 8.38  8.621851  4.637636
 8.39  8.621863  4.637636
 8.40  8.621882  4.637636
 8.41  8.621898  4.637640
 8.42  8.621911  4.637677
 8.43  8.621923  4.637677
 8.44  8.621941  4.637677
 8.45  8.621953  4.637677
 8.46  8.621970  4.637719
 8.47  8.621982  4.637719
 8.48  8.622000  4.637719
 8.49  8.622012  4.637719
 8.50  8.622029  4.637760
 8.51  8.622041  4.637760
 8.52  8.622059  4.637760
 8.53  8.622072  4.637760
 8.54  8.622084  4.637760
 8.55  8.622100  4.637802
 8.56  8.622113  4.637802
 8.57  8.622131  4.637802
 8.58  8.622143  4.637802
 8.59  8.622155  4.637839
 8.60  8.622172  4.637843
 8.61  8.622190  4.637843
 8.62  8.622202  4.637843
 8.63  8.622214  4.637880
 8.64  8.622227  4.637880
 8.65  8.622243  4.637885
 8.66  8.622262  4.637885
 8.67  8.622274  4.637885
 8.68  8.622286  4.637922
 8.69  8.622298  4.637922
 8.70  8.622321  4.637926
 8.71  8.622333  4.637926
 8.72  8.622345  4.637963
 8.73  8.622357  4.637963
 8.74  8.622369  4.637963
 8.75  8.622392  4.637968
 8.76  8.622404  4.638005
 8.77  8.622416  4.638005
 8.78  8.622429  4.638005
 8.79  8.622441  4.638005
 8.80  8.622464  4.638046
 8.81  8.622476  4.638046
 8.82  8.622488  4.638046
 8.83  8.622500  4.638046
 8.84  8.622512  4.638046
 8.85  8.622529  4.638088
 8.86  8.622547  4.638088
 8.87  8.622559  4.638088
 8.88  8.622571  4.638088
 8.89  8.622584  4.638125
 8.90  8.622600  4.638129
 8.91  8.622618  4.638129
 8.92  8.622631  4.638129
 8.93  8.622643  4.638166
 8.94  8.622655  4.638166
 8.95  8.622671  4.638171
